activity_type,aerobic_training_effect,anaerobic_training_effect,avg_hr,avg_speed,calories,distance,max_ftp,max_hr,duration,begin_timestamp,event_type_id,start_time_gmt,start_time_local,elevation_gain,elevation_loss,max_run_cadence,steps,avg_stride_length,avg_fractional_cadence,max_fractional_cadence,elapsed_duration,moving_duration,min_temperature,max_temperature,min_elevation,max_elevation,avg_double_cadence,max_double_cadence,max_vertical_speed,lap_count,water_estimated,min_respiration_rate,max_respiration_rate,avg_respiration_rate,activity_training_load
2,2.0999999046325684,2.200000047683716,132.0,0.0,1311.47626,0.0,252.0,166.0,1727436.03515625,1607965960000,9,1607965960000.0,1607973160000.0,0.0,0.0,119.0,986.0,0.0,0.0078125,0.5,1828005.0048828125,0.0,23.0,26.0,42700.0,42700.0,28.015625,239.0,0.0,21,301.0,15.829999923706055,34.33000183105469,26.100000381469727,62.183685302734375
2,0.4000000059604645,0.0,118.0,0.0,284.92136,0.0,252.0,129.0,402134.0026855469,1607616982000,9,1607616982000.0,1607624182000.0,0.0,0.0,62.0,44.0,0.0,0.5859375,0.0,402134.0026855469,0.0,27.0,27.0,44420.001220703125,44420.001220703125,5.171875,124.0,0.0,1,80.0,15.779999732971191,15.779999732971191,15.779999732971191,5.7184906005859375
2,0.0,0.0,72.0,0.0,167.6008,0.0,252.0,95.0,837705.0170898438,1607615795000,9,1607615795000.0,1607622995000.0,0.0,0.0,63.0,74.0,0.0,0.796875,0.5,845466.9799804688,0.0,26.0,27.0,44420.001220703125,44420.001220703125,1.59375,127.0,0.0,1,98.0,14.010000228881836,14.010000228881836,14.010000228881836,0.8268585205078125
2,0.6000000238418579,0.0,99.0,0.0,1315.66628,0.0,252.0,131.0,3160707.03125,1607447685000,9,1607447685000.0,1607454885000.0,0.0,0.0,120.0,912.0,0.0,0.484375,0.0,3160707.03125,0.0,24.0,27.0,39820.001220703125,40200.0,14.96875,240.0,0.010000610351562501,13,444.0,20.93000030517578,20.93000030517578,20.93000030517578,7.8677520751953125
2,2.5,0.699999988079071,127.0,0.0,1801.7086,0.0,252.0,173.0,2467266.11328125,1607362717000,9,1607362717000.0,1607369917000.0,0.0,0.0,94.0,1148.0,0.0,0.515625,0.5,2467266.11328125,0.0,26.0,27.0,40539.99938964844,40939.99938964844,13.03125,189.0,0.16000061035156252,2,503.0,13.739999771118164,38.68000030517578,25.5,61.36395263671875
2,3.4000000953674316,2.4000000953674316,157.0,0.0,2819.8834599999996,0.0,252.0,180.0,2760673.095703125,1607161226000,9,1607161226000.0,1607168426000.0,0.0,0.0,121.0,3010.0,0.0,0.796875,0.5,2760673.095703125,0.0,25.0,28.0,25080.00030517578,27239.999389648438,49.59375,243.0,1.0399993896484376,1,627.0,20.200000762939453,43.79999923706055,33.77000045776367,165.2189178466797
0,0.4000000059604645,0.0,124.0,0.17899999618530274,175.98083999999997,39955.999755859375,252.0,140.0,223214.99633789062,1607160352000,9,1607160352000.0,1607167552000.0,200.0,100.0,89.0,456.0,87.89000244140625,0.34375,0.0,287690.00244140625,163000.0,28.0,30.0,27100.0,27339.999389648438,130.6875,178.0,0.020001220703125003,1,47.0,16.540000915527344,33.0099983215332,27.0,5.50225830078125
2,0.4000000059604645,0.0,106.0,0.0,511.18243999999993,0.0,252.0,132.0,1020000.0,1607017182000,9,1607017182000.0,1607024382000.0,0.0,0.0,124.0,96.0,0.0,0.3671875,0.0,900000.0,0.0,24.0,26.0,37360.00061035156,44839.99938964844,6.734375,248.0,2.479998779296875,11,138.0,19.68000030517578,19.68000030517578,19.68000030517578,5.5748291015625
2,0.10000000149011612,0.0,91.0,0.0,196.93094,0.0,252.0,107.0,511669.00634765625,1607016274000,9,1607016274000.0,1607023474000.0,0.0,0.0,77.0,286.0,0.0,0.7890625,0.0,511669.00634765625,0.0,25.0,26.0,42400.0,42400.0,13.578125,154.0,0.0,1,59.0,17.59000015258789,17.59000015258789,17.59000015258789,1.654327392578125
2,2.4000000953674316,1.5,113.0,0.0,2074.0598999999997,0.0,252.0,170.0,3493444.091796875,1606842291000,9,1606842291000.0,1606849491000.0,0.0,0.0,113.0,1228.0,0.0,0.0234375,0.5,3493444.091796875,0.0,23.0,27.0,27579.998779296875,43579.998779296875,10.046875,227.0,8.020001220703126,3,572.0,15.699999809265137,15.699999809265137,15.699999809265137,69.00953674316406
